YearMonth,Nombre_événements
1920-01,229
1979-01,10
1979-02,14
1979-04,4
1979-05,46
1979-06,26
1979-07,12
1979-08,43
1979-09,9
1979-10,2
1979-11,34
1980-01,8
1980-02,3
1980-03,5
1980-04,4
1980-05,14
1980-06,10
1980-07,13
1980-08,1
1980-09,3
1980-10,27
1980-11,17
1980-12,18
1981-01,3
1981-03,8
1981-04,8
1981-05,21
1981-06,14
1981-07,8
1981-08,5
1981-09,18
1981-10,9
1981-11,9
1981-12,2
1982-01,32
1982-02,32
1982-03,7
1982-04,6
1982-05,38
1982-06,8
1982-07,2
1982-08,7
1982-09,5
1982-10,11
1982-11,19
1983-01,65
1983-02,53
1983-03,5
1983-04,20
1983-05,4
1983-06,10
1983-07,11
1983-08,23
1983-09,4
1983-10,12
1983-11,3
1983-12,6
1984-01,27
1984-02,8
1984-03,13
1984-04,26
1984-05,32
1984-06,19
1984-07,12
1984-08,16
1984-09,11
1984-10,7
1984-11,13
1984-12,15
1985-01,4
1985-02,5
1985-03,21
1985-04,18
1985-05,95
1985-06,7
1985-07,9
1985-08,19
1985-09,8
1985-10,31
1985-11,35
1985-12,10
1986-01,9
1986-02,9
1986-03,67
1986-04,17
1986-05,24
1986-06,5
1986-07,9
1986-08,9
1986-09,17
1986-10,40
1986-11,29
1986-12,94
1987-01,8
1987-02,8
1987-03,28
1987-04,22
1987-05,7
1987-06,22
1987-07,19
1987-08,13
1987-09,20
1987-10,22
1987-11,18
1987-12,12
1988-01,2
1988-02,25
1988-03,19
1988-04,6
1988-05,25
1988-06,22
1988-07,30
1988-08,33
1988-09,14
1988-10,13
1988-11,25
1988-12,7
1989-01,56
1989-02,36
1989-03,149
1989-04,15
1989-05,25
1989-06,22
1989-07,20
1989-08,17
1989-09,53
1989-10,34
1989-11,53
1989-12,127
1990-01,65
1990-02,50
1990-03,33
1990-04,28
1990-05,29
1990-06,28
1990-07,39
1990-08,24
1990-09,28
1990-10,20
1990-11,36
1990-12,8
1991-01,16
1991-02,21
1991-03,66
1991-04,30
1991-05,8
1991-06,1
1991-07,17
1991-08,50
1991-09,50
1991-10,21
1991-11,54
1991-12,122
1992-01,6
1992-02,21
1992-03,37
1992-04,9
1992-05,30
1992-06,14
1992-07,13
1992-08,72
1992-09,26
1992-10,33
1992-11,59
1992-12,23
1993-01,14
1993-02,180
1993-03,36
1993-04,20
1993-05,33
1993-06,50
1993-07,81
1993-08,41
1993-09,13
1993-10,21
1993-11,15
1993-12,59
1994-01,32
1994-02,27
1994-03,43
1994-04,11
1994-05,25
1994-06,12
1994-07,35
1994-08,84
1994-09,36
1994-10,51
1994-11,30
1994-12,29
1995-01,47
1995-02,17
1995-03,51
1995-04,47
1995-05,34
1995-06,67
1995-07,93
1995-08,22
1995-09,28
1995-10,20
1995-11,123
1995-12,32
1996-01,64
1996-02,74
1996-03,248
1996-04,80
1996-05,9
1996-06,9
1996-07,13
1996-08,91
1996-09,51
1996-10,74
1996-11,101
1996-12,71
1997-01,38
1997-02,94
1997-03,91
1997-04,61
1997-05,65
1997-06,4
1997-07,72
1997-08,45
1997-09,53
1997-10,62
